v8-version,8,6,395,17,-node.22,0
shared-library,/usr/local/bin/node,0x400000,0x4369000,0
shared-library,/lib/x86_64-linux-gnu/libc-2.24.so,0x7fda43d19000,0x7fda43eae000,0
shared-library,/lib/x86_64-linux-gnu/libpthread-2.24.so,0x7fda440b8000,0x7fda440d0000,0
shared-library,/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7fda442d5000,0x7fda442eb000,0
shared-library,/lib/x86_64-linux-gnu/libm-2.24.so,0x7fda444ec000,0x7fda445ef000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.22,0x7fda447f0000,0x7fda44962000,0
shared-library,/lib/x86_64-linux-gnu/libdl-2.24.so,0x7fda44b72000,0x7fda44b75000,0
shared-library,/lib/x86_64-linux-gnu/ld-2.24.so,0x7fda44d76000,0x7fda44d99000,0
shared-library,[vdso],0x7ffe2c954000,0x7ffe2c955000,0
profiler,begin,1000
tick,0x7fda43df498d,6900,0,0x0,6
tick,0x11adca2,7952,0,0x0,6
tick,0x11acbfb,10043,0,0x0,6
tick,0x103f30f,10673,0,0x0,6
code-creation,Builtin,3,10995,0x1460e20,1628,RecordWrite
code-creation,Builtin,3,11005,0x1461480,424,EphemeronKeyBarrier
code-creation,Builtin,3,11009,0x1461640,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,11012,0x1461680,291,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,11015,0x14617c0,207,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,11018,0x14618a0,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,11021,0x14619c0,289,CallFunction_ReceiverIsAny
code-creation,Builtin,3,11024,0x1461b00,127,CallBoundFunction
code-creation,Builtin,3,11027,0x1461b80,109,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,11030,0x1461c00,109,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,11033,0x1461c80,109,Call_ReceiverIsAny
code-creation,Builtin,3,11036,0x1461d00,488,Call_ReceiverIsNullOrUndefined_WithFeedback
code-creation,Builtin,3,11039,0x1461f00,488,Call_ReceiverIsNotNullOrUndefined_WithFeedback
code-creation,Builtin,3,11042,0x1462100,488,Call_ReceiverIsAny_WithFeedback
code-creation,Builtin,3,11046,0x1462300,858,CallProxy
code-creation,Builtin,3,11048,0x1462660,75,CallVarargs
code-creation,Builtin,3,11051,0x14626c0,1064,CallWithSpread
code-creation,Builtin,3,11054,0x1462b00,1600,CallWithSpread_WithFeedback
code-creation,Builtin,3,11056,0x1463160,962,CallWithArrayLike
code-creation,Builtin,3,11059,0x1463540,1470,CallWithArrayLike_WithFeedback
code-creation,Builtin,3,11062,0x1463b00,100,CallForwardVarargs
code-creation,Builtin,3,11065,0x1463b80,100,CallFunctionForwardVarargs
code-creation,Builtin,3,11068,0x1463c00,157,CallFunctionTemplate_CheckAccess
code-creation,Builtin,3,11071,0x1463ca0,245,CallFunctionTemplate_CheckCompatibleReceiver
code-creation,Builtin,3,11075,0x1463da0,350,CallFunctionTemplate_CheckAccessAndCompatibleReceiver
code-creation,Builtin,3,11078,0x1463f00,26,ConstructFunction
code-creation,Builtin,3,11081,0x1463f20,127,ConstructBoundFunction
code-creation,Builtin,3,11084,0x1463fa0,28,ConstructedNonConstructable
code-creation,Builtin,3,11086,0x1463fc0,90,Construct
code-creation,Builtin,3,11089,0x1464020,75,ConstructVarargs
code-creation,Builtin,3,11092,0x1464080,1084,ConstructWithSpread
code-creation,Builtin,3,11095,0x14644c0,1918,ConstructWithSpread_WithFeedback
code-creation,Builtin,3,11098,0x1464c40,1044,ConstructWithArrayLike
code-creation,Builtin,3,11101,0x1465060,1882,ConstructWithArrayLike_WithFeedback
code-creation,Builtin,3,11104,0x14657c0,139,ConstructForwardVarargs
code-creation,Builtin,3,11107,0x1465860,139,ConstructFunctionForwardVarargs
code-creation,Builtin,3,11110,0x1465900,885,Construct_WithFeedback
code-creation,Builtin,3,11113,0x1465c80,328,JSConstructStubGeneric
code-creation,Builtin,3,11116,0x1465de0,241,JSBuiltinsConstructStub
code-creation,Builtin,3,11119,0x1465ee0,735,FastNewObject
code-creation,Builtin,3,11121,0x14661c0,321,FastNewClosure
