v8-version,8,6,395,17,-node.22,0
shared-library,/usr/local/bin/node,0x400000,0x4369000,0
shared-library,/lib/x86_64-linux-gnu/libc-2.24.so,0x7fd8d8859000,0x7fd8d89ee000,0
shared-library,/lib/x86_64-linux-gnu/libpthread-2.24.so,0x7fd8d8bf8000,0x7fd8d8c10000,0
shared-library,/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7fd8d8e15000,0x7fd8d8e2b000,0
shared-library,/lib/x86_64-linux-gnu/libm-2.24.so,0x7fd8d902c000,0x7fd8d912f000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.22,0x7fd8d9330000,0x7fd8d94a2000,0
shared-library,/lib/x86_64-linux-gnu/libdl-2.24.so,0x7fd8d96b2000,0x7fd8d96b5000,0
shared-library,/lib/x86_64-linux-gnu/ld-2.24.so,0x7fd8d98b6000,0x7fd8d98d9000,0
shared-library,[vdso],0x7ffd25d19000,0x7ffd25d1a000,0
profiler,begin,1000
code-creation,Builtin,3,2930,0x1460e20,1628,RecordWrite
code-creation,Builtin,3,2956,0x1461480,424,EphemeronKeyBarrier
code-creation,Builtin,3,2960,0x1461640,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,2963,0x1461680,291,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,2966,0x14617c0,207,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2969,0x14618a0,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2973,0x14619c0,289,CallFunction_ReceiverIsAny
code-creation,Builtin,3,2976,0x1461b00,127,CallBoundFunction
code-creation,Builtin,3,2979,0x1461b80,109,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,2982,0x1461c00,109,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,2985,0x1461c80,109,Call_ReceiverIsAny
code-creation,Builtin,3,2988,0x1461d00,488,Call_ReceiverIsNullOrUndefined_WithFeedback
code-creation,Builtin,3,2991,0x1461f00,488,Call_ReceiverIsNotNullOrUndefined_WithFeedback
