v8-version,8,6,395,17,-node.22,0
shared-library,/usr/local/bin/node,0x400000,0x4369000,0
shared-library,/lib/x86_64-linux-gnu/libc-2.24.so,0x7f8cc79d7000,0x7f8cc7b6c000,0
shared-library,/lib/x86_64-linux-gnu/libpthread-2.24.so,0x7f8cc7d76000,0x7f8cc7d8e000,0
shared-library,/lib/x86_64-linux-gnu/libgcc_s.so.1,0x7f8cc7f93000,0x7f8cc7fa9000,0
shared-library,/lib/x86_64-linux-gnu/libm-2.24.so,0x7f8cc81aa000,0x7f8cc82ad000,0
shared-library,/usr/lib/x86_64-linux-gnu/libstdc++.so.6.0.22,0x7f8cc84ae000,0x7f8cc8620000,0
shared-library,/lib/x86_64-linux-gnu/libdl-2.24.so,0x7f8cc8830000,0x7f8cc8833000,0
shared-library,/lib/x86_64-linux-gnu/ld-2.24.so,0x7f8cc8a34000,0x7f8cc8a57000,0
shared-library,[vdso],0x7fffa95af000,0x7fffa95b0000,0
profiler,begin,1000
tick,0x11ab13d,2690,0,0x0,6
code-creation,Builtin,3,3324,0x1460e20,1628,RecordWrite
code-creation,Builtin,3,3385,0x1461480,424,EphemeronKeyBarrier
code-creation,Builtin,3,3391,0x1461640,44,AdaptorWithBuiltinExitFrame
code-creation,Builtin,3,3394,0x1461680,291,ArgumentsAdaptorTrampoline
code-creation,Builtin,3,3397,0x14617c0,207,CallFunction_ReceiverIsNullOrUndefined
code-creation,Builtin,3,3400,0x14618a0,260,CallFunction_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,3403,0x14619c0,289,CallFunction_ReceiverIsAny
code-creation,Builtin,3,3410,0x1461b00,127,CallBoundFunction
code-creation,Builtin,3,3413,0x1461b80,109,Call_ReceiverIsNullOrUndefined
code-creation,Builtin,3,3417,0x1461c00,109,Call_ReceiverIsNotNullOrUndefined
code-creation,Builtin,3,3422,0x1461c80,109,Call_ReceiverIsAny
code-creation,Builtin,3,3425,0x1461d00,488,Call_ReceiverIsNullOrUndefined_WithFeedback
code-creation,Builtin,3,3430,0x1461f00,488,Call_ReceiverIsNotNullOrUndefined_WithFeedback
code-creation,Builtin,3,3434,0x1462100,488,Call_ReceiverIsAny_WithFeedback
